Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4217,QLD,Battery Electric Vehicle,185, $1-$149, 55-64 years,120,75.0,59.5
4217,QLD,Battery Electric Vehicle,185," $3,000-$3499", 25-34 years,63,3249.5,29.5
4217,QLD,Battery Electric Vehicle,185, Total, 45-54 years,5983,0,49.5
4217,QLD,Battery Electric Vehicle,185, $650-$799, 55-64 years,432,724.5,59.5
4217,QLD,Battery Electric Vehicle,185, $300-$399, 20-24 years,195,349.5,22.0
4217,QLD,Battery Electric Vehicle,185," $3,000-$3499", 35-44 years,140,3249.5,39.5
4217,QLD,Battery Electric Vehicle,185, $1-$149, 45-54 years,90,75.0,49.5
4217,QLD,Battery Electric Vehicle,185," $3,500 or more", 75-84 years,117,3500+,79.5
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 85 years and over,49,0,85+
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 15-19 years,722,0,17.0
4217,QLD,Battery Electric Vehicle,185, $400-$499, 65-74 years,702,449.5,69.5
4217,QLD,Battery Electric Vehicle,185," $1,750-$1,999", 25-34 years,288,1874.5,29.5
4217,QLD,Battery Electric Vehicle,185, $500-$649, 75-84 years,402,574.5,79.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 25-34 years,1081,899.5,29.5
4217,QLD,Battery Electric Vehicle,185, Not stated, 25-34 years,1093,0,29.5
4217,QLD,Battery Electric Vehicle,185, Total, 20-24 years,2998,0,22.0
4217,QLD,Battery Electric Vehicle,185," $1,000-$1,249", 65-74 years,402,1124.5,69.5
4217,QLD,Battery Electric Vehicle,185, $1-$149, 15-19 years,426,75.0,17.0
4217,QLD,Battery Electric Vehicle,185, $400-$499, 35-44 years,205,449.5,39.5
4217,QLD,Battery Electric Vehicle,185," $3,500 or more", 20-24 years,12,3500+,22.0
4217,QLD,Battery Electric Vehicle,185, $150-$299, 15-19 years,222,224.5,17.0
4217,QLD,Battery Electric Vehicle,185, Not stated, 55-64 years,661,0,59.5
4217,QLD,Battery Electric Vehicle,185, $300-$399, 85 years and over,101,349.5,85+
4217,QLD,Battery Electric Vehicle,185, $650-$799, 75-84 years,236,724.5,79.5
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 55-64 years,498,0,59.5
4217,QLD,Battery Electric Vehicle,185," $2,000-$2,999", 45-54 years,597,2499.5,49.5
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 35-44 years,328,0,39.5
4217,QLD,Battery Electric Vehicle,185, Not stated, 15-19 years,187,0,17.0
4217,QLD,Battery Electric Vehicle,185," $3,000-$3499", 85 years and over,12,3249.5,85+
4217,QLD,Battery Electric Vehicle,185, $500-$649, 55-64 years,409,574.5,59.5
4217,QLD,Battery Electric Vehicle,185, $1-$149, 75-84 years,86,75.0,79.5
4217,QLD,Battery Electric Vehicle,185, $650-$799, 15-19 years,64,724.5,17.0
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 25-34 years,534,1374.5,29.5
4217,QLD,Battery Electric Vehicle,185," $1,750-$1,999", 45-54 years,306,1874.5,49.5
4217,QLD,Battery Electric Vehicle,185, $650-$799, 35-44 years,453,724.5,39.5
4217,QLD,Battery Electric Vehicle,185, Total, 75-84 years,3335,0,79.5
4217,QLD,Battery Electric Vehicle,185, $300-$399, 45-54 years,252,349.5,49.5
4217,QLD,Battery Electric Vehicle,185, $650-$799, 25-34 years,821,724.5,29.5
4217,QLD,Battery Electric Vehicle,185," $3,000-$3499", 65-74 years,85,3249.5,69.5
4217,QLD,Battery Electric Vehicle,185, $1-$149, 20-24 years,78,75.0,22.0
4217,QLD,Battery Electric Vehicle,185," $3,000-$3499", 55-64 years,160,3249.5,59.5
4217,QLD,Battery Electric Vehicle,185," $1,000-$1,249", 45-54 years,584,1124.5,49.5
